Name,Age,Gender,MaritalStatus,Income,EmploymentStatus,CreditScore,OpenCreditLines,TotalCreditLimit,LatePayments,TotalDebt,MonthlyDebtPayments,AssetValue,DefaultStatus
PersonA,28,Female,Single,6000,Full-time,720,4,18000,0,2500,900,12000,0
PersonB,40,Male,Married,10000,Part-time,680,6,25000,1,6000,1500,35000,1
PersonC,35,Female,Single,8000,Full-time,700,3,15000,2,3000,800,20000,0
PersonD,45,Male,Married,12000,Full-time,750,5,30000,0,5000,1200,30000,0
PersonE,32,Female,Single,7000,Part-time,650,2,12000,1,2000,600,18000,1
PersonF,38,Male,Divorced,9000,Full-time,700,4,18000,2,4000,1000,25000,1
PersonG,28,Female,Single,6000,Part-time,680,3,15000,0,2500,800,12000,0
PersonH,42,Male,Married,11000,Full-time,720,6,25000,1,5500,1300,35000,1
PersonI,35,Male,Married,8000,Part-time,660,5,20000,0,3500,900,22000,0
PersonJ,30,Female,Single,7500,Full-time,700,4,18000,1,2800,800,15000,1
PersonK,45,Male,Divorced,13000,Full-time,750,6,30000,0,6000,1500,40000,0
PersonL,33,Female,Married,8500,Part-time,670,4,18000,2,3200,900,18000,1
PersonM,39,Male,Single,9500,Full-time,720,5,25000,1,5000,1200,32000,1
PersonN,31,Female,Single,7200,Part-time,660,3,15000,0,2300,700,15000,0
PersonO,43,Male,Married,11500,Full-time,730,6,28000,1,5800,1400,38000,1
PersonP,36,Female,Married,8800,Part-time,680,4,18000,2,3800,1000,20000,1
PersonQ,29,Male,Single,6500,Full-time,700,3,15000,1,2500,800,13000,0
PersonR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
PersonS,34,Female,Single,7800,Part-time,670,4,18000,1,3000,800,16000,0
PersonT,44,Male,Married,12500,Full-time,760,6,30000,1,6200,1600,40000,1
