Name,Age,Gender,MaritalStatus,Income,EmploymentStatus,CreditScore,OpenCreditLines,TotalCreditLimit,LatePayments,TotalDebt,MonthlyDebtPayments,AssetValue,DefaultStatus
PersonA,28,Female,Single,6000,Full-time,720,4,18000,0,2500,900,12000,0
PersonB,40,Male,Married,10000,Part-time,680,6,25000,1,6000,1500,35000,1
PersonC,40,Male,Divorced,10000,Unemployed,680,6,25000,1,6000,1500,35000,1
PersonD,35,Female,Single,8000,Full-time,700,5,20000,2,4000,1200,30000,0
PersonE,45,Male,Married,12000,Self-employed,750,7,30000,0,3500,1000,40000,0
PersonF,33,Female,Divorced,7000,Part-time,660,3,15000,3,2000,800,15000,1
PersonG,28,Male,Single,5000,Full-time,690,4,18000,1,3000,1000,18000,0
PersonH,38,Female,Married,11000,Unemployed,710,6,25000,2,5000,1300,32000,1
PersonI,32,Male,Divorced,9000,Part-time,670,5,20000,0,2500,900,25000,0
PersonJ,42,Female,Single,9500,Full-time,730,7,30000,0,4000,1200,40000,0
PersonK,29,Male,Married,7500,Self-employed,680,4,18000,1,3500,1000,35000,1
PersonL,34,Female,Divorced,8500,Full-time,710,6,25000,2,3000,1000,30000,0
PersonM,41,Male,Single,11000,Unemployed,690,5,20000,1,5000,1300,35000,1
PersonN,30,Female,Married,6000,Part-time,660,3,15000,3,2000,800,20000,0
PersonO,37,Male,Divorced,8500,Full-time,720,7,30000,0,3500,1000,45000,0
PersonP,27,Female,Single,5500,Unemployed,680,4,18000,1,2500,900,18000,0
PersonQ,39,Male,Married,12000,Self-employed,750,6,25000,2,6000,1500,40000,1
PersonR,31,Female,Divorced,7200,Full-time,690,5,20000,0,3000,1000,25000,0
PersonS,44,Male,Single,10000,Part-time,670,7,30000,0,4000,1200,35000,0
PersonT,26,Female,Married,5800,Unemployed,660,4,18000,1,2500,900,22000,0
PersonU,36,Male,Divorced,9200,Full-time,710,6,25000,2,5000,1300,38000,1
PersonV,33,Female,Single,7500,Self-employed,680,5,20000,1,3500,1000,28000,0
PersonW,43,Male,Married,10500,Part-time,730,7,30000,0,5000,1300,42000,0
PersonX,29,Female,Divorced,8000,Unemployed,660,4,18000,1,2500,900,20000,0
PersonY,35,Male,Single,11000,Full-time,720,6,25000,2,4000,1200,35000,1
PersonZ,31,Female,Married,7200,Self-employed,690,5,20000,0,3000,1000,30000,0
