Name,Age,Gender,MaritalStatus,Income,EmploymentStatus,CreditScore,OpenCreditLines,TotalCreditLimit,LatePayments,TotalDebt,MonthlyDebtPayments,AssetValue,DefaultStatus
PersonA,28,Female,Single,6000,Full-time,720,4,18000,0,2500,900,12000,0
PersonB,40,Male,Married,10000,Part-time,680,6,25000,1,6000,1500,35000,1
PersonC,45,Female,Single,8000,Full-time,700,5,20000,2,3000,1000,18000,0
PersonD,35,Male,Married,12000,Full-time,750,7,30000,0,4000,1200,40000,0
PersonE,22,Female,Single,4000,Part-time,650,3,15000,1,2000,600,10000,1
PersonF,38,Male,Married,9000,Full-time,700,6,22000,2,5000,1300,30000,0
PersonG,33,Female,Single,7000,Part-time,680,4,18000,1,3500,1100,25000,1
PersonH,50,Male,Married,15000,Full-time,780,8,35000,0,8000,2000,50000,0
PersonI,26,Female,Single,5500,Part-time,670,3,14000,1,1800,700,15000,1
PersonJ,42,Male,Married,11000,Full-time,730,7,28000,0,7000,1600,42000,0
PersonK,29,Female,Single,6200,Part-time,700,4,16000,1,2800,800,14000,1
PersonL,48,Male,Married,13000,Full-time,760,8,32000,0,7500,1800,48000,0
PersonM,31,Female,Single,6800,Part-time,690,5,19000,1,3200,1000,20000,1
PersonN,36,Male,Married,11500,Full-time,740,7,29000,0,5500,1500,45000,0
PersonO,27,Female,Single,5800,Part-time,660,3,15000,1,2400,700,13000,1
PersonP,44,Male,Married,10500,Full-time,710,6,23000,0,6500,1400,38000,0
PersonQ,30,Female,Single,6500,Part-time,690,4,17000,1,2600,900,16000,1
PersonR,46,Male,Married,12500,Full-time,770,8,33000,0,7000,1700,46000,0
PersonS,25,Female,Single,5200,Part-time,650,3,14000,1,2000,600,12000,1
PersonT,39,Male,Married,9500,Full-time,720,6,24000,0,6000,1600,35000,0
PersonU,34,Female,Single,7500,Part-time,670,5,19000,1,3500,1000,21000,1
PersonV,37,Male,Married,9200,Full-time,710,5,22000,0,4200,1100,26000,0
PersonW,32,Male,Single,7200,Part-time,650,3,15000,1,2300,700,15000,0
PersonX,39,Female,Married,9600,Unemployed,640,4,18000,2,4000,1000,20000,1
PersonY,33,Female,Single,8000,Full-time,670,3,15000,0,2600,800,14000,0
PersonZ,46,Male,Married,13500,Part-time,670,6,32000,1,6500,1700,42000,1
PersonAA,28,Male,Single,6300,Unemployed,600,2,12000,1,2200,700,15000,0
PersonBB,40,Female,Divorced,10500,Full-time,720,5,25000,0,4500,1100,35000,1
PersonCC,35,Female,Married,8500,Part-time,680,4,18000,2,3200,900,18000,1
PersonDD,45,Male,Divorced,12500,Unemployed,660,6,30000,1,6000,1500,40000,1
PersonEE,31,Male,Single,6800,Full-time,720,3,15000,0,2400,700,14000,0
PersonFF,38,Female,Married,9100,Part-time,650,4,18000,2,3800,1000,22000,1
PersonGG,29,Male,Single,6600,Unemployed,610,2,12000,1,2000,600,14000,0
PersonHH,41,Male,Married,11000,Full-time,740,5,25000,0,5000,1200,34000,1
PersonII,36,Female,Divorced,8300,Part-time,670,4,18000,1,2900,800,16000,0
PersonJJ,30,Female,Single,7200,Unemployed,600,3,15000,0,2400,700,16000,0
PersonKK,43,Male,Married,12000,Part-time,680,6,30000,1,5800,1400,38000,1
PersonLL,34,Male,Single,7700,Full-time,680,4,18000,2,3200,900,18000,1
PersonMM,39,Female,Married,9500,Unemployed,640,5,25000,1,5000,1200,32000,1
PersonNN,32,Male,Single,7000,Part-time,660,3,15000,0,2300,700,15000,0
PersonOO,44,Male,Married,13000,Full-time,750,6,30000,1,6200,1600,40000,1
PersonPP,36,Female,Married,8800,Unemployed,680,4,18000,2,3800,1000,20000,1
PersonQQ,29,Male,Single,6500,Part-time,700,3,15000,1,2500,800,13000,0
PersonRR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
PersonSS,34,Female,Single,7800,Part-time,670,4,18000,1,3000,800,16000,0
PersonTT,44,Male,Married,12500,Full-time,760,6,30000,1,6200,1600,40000,1
PersonUU,27,Female,Single,5800,Part-time,670,2,12000,1,2100,700,16000,0
PersonVV,37,Male,Married,9200,Unemployed,620,5,22000,0,4200,1100,26000,0
PersonWW,32,Male,Single,7200,Unemployed,600,3,15000,1,2300,700,15000,0
